Financial Benchmarks India Pvt Ltd
Reference Rates
Date,Time,Currency Pairs,Rate,Comments
30 Mar 2026,1:00:00 PM,INR / 1 USD,94.6543,
30 Mar 2026,1:00:00 PM,INR / 1 GBP,125.635,
30 Mar 2026,1:00:00 PM,INR / 1 EUR,109.006,
30 Mar 2026,1:00:00 PM,INR / 100 JPY,59.25,
27 Mar 2026,1:00:00 PM,INR / 1 USD,94.5988,
27 Mar 2026,1:00:00 PM,INR / 1 GBP,126.199,
27 Mar 2026,1:00:00 PM,INR / 1 EUR,109.16,
27 Mar 2026,1:00:00 PM,INR / 100 JPY,59.26,
25 Mar 2026,1:00:00 PM,INR / 1 USD,93.9657,
25 Mar 2026,1:00:00 PM,INR / 1 GBP,125.764,
25 Mar 2026,1:00:00 PM,INR / 1 EUR,108.948,
25 Mar 2026,1:00:00 PM,INR / 100 JPY,59.1,
24 Mar 2026,1:00:00 PM,INR / 1 USD,93.8792,
24 Mar 2026,1:00:00 PM,INR / 1 GBP,125.827,
24 Mar 2026,1:00:00 PM,INR / 1 EUR,108.741,
24 Mar 2026,1:00:00 PM,INR / 100 JPY,59.16,
23 Mar 2026,1:00:00 PM,INR / 1 USD,93.898,
23 Mar 2026,1:00:00 PM,INR / 1 GBP,124.816,
23 Mar 2026,1:00:00 PM,INR / 1 EUR,108.224,
23 Mar 2026,1:00:00 PM,INR / 100 JPY,58.83,
20 Mar 2026,1:00:00 PM,INR / 1 USD,93.3483,
20 Mar 2026,1:00:00 PM,INR / 1 GBP,125.157,
20 Mar 2026,1:00:00 PM,INR / 1 EUR,107.943,
20 Mar 2026,1:00:00 PM,INR / 100 JPY,58.94,
18 Mar 2026,1:00:00 PM,INR / 1 USD,92.4514,
18 Mar 2026,1:00:00 PM,INR / 1 GBP,123.638,
18 Mar 2026,1:00:00 PM,INR / 1 EUR,106.762,
18 Mar 2026,1:00:00 PM,INR / 100 JPY,58.29,
17 Mar 2026,1:00:00 PM,INR / 1 USD,92.457,
17 Mar 2026,1:00:00 PM,INR / 1 GBP,122.827,
17 Mar 2026,1:00:00 PM,INR / 1 EUR,106.096,
17 Mar 2026,1:00:00 PM,INR / 100 JPY,57.99,
16 Mar 2026,1:00:00 PM,INR / 1 USD,92.3966,
16 Mar 2026,1:00:00 PM,INR / 1 GBP,122.371,
16 Mar 2026,1:00:00 PM,INR / 1 EUR,105.59,
16 Mar 2026,1:00:00 PM,INR / 100 JPY,57.99,
13 Mar 2026,1:00:00 PM,INR / 1 USD,92.4405,
13 Mar 2026,1:00:00 PM,INR / 1 GBP,123.203,
13 Mar 2026,1:00:00 PM,INR / 1 EUR,106.307,
